mbid ID,Raag,artist,Duration,OHVFilenames,OHVAnnotator1,OHVAnnotator1
9f4ba52c-935c-4066-ad79-daa709dfa6ec,Irani Bhairavi,Brajeshwar Mukherjee,6:00,"IraniBhairaviThumri_av.csv
Irani Bhairavi Thumri_sb.csv",Aniruddh Venkatesh,Sneha Bhat
49747cb6-7edc-43aa-bf15-44a6043f6472,Chandrakauns,Satyasheel Deshpande,3:56,"RaagChandrakauns_av.csv
Raag Chandrakauns_SnehaBhat.csv",Aniruddh Venkatesh,Sneha Bhat
6bb27c39-a1d0-4775-8915-662044c43352,Majh Khamaj,Satyasheel Deshpande,5:19,manjkhamaj_vh.csv,Vignesh Hegde,-
b77a3149-40fa-4e28-8205-cd4f006f60a1,Malkauns,Ajoy Chakrabarty ,5:33,"Malkauns_sb.csv
malkauns_vh.csv",Sneha Bhat,Vignesh Hegde
d7a57d81-a5dd-44d8-aabf-951cb8f73fe2,Kalavati,Ajoy Chakrabarty,5:43,Kalavati_vi.csv,Vishnuvardhan Iyer,-
f5d00c2d-5ca1-4a49-bb38-1af3496e6dfc,Bhairavi,Omkar Dadarkar,10:02,BhairaviDadr_av.csv,Aniruddh Venkatesh,-
7704b0d2-eeac-47e4-ba05-c541a91eb621,Raageshree,Ajoy Chakrabarty,8:12,raageshree_vh.csv,Vignesh Hegde,-
204008ee-89fe-44a4-a0c7-7bd7d64cf8a4,Todi,Ajoy Chakrabarty,9:01,todi_dp.csv,Dhruv Pargai,-
51656b20-295c-40f9-8dab-005b9b90fa98,Aahir Bhairon,Ajoy Chakrabarty,9:49,AahirBhairon_av.csv,Aniruddh Venkatesh,-
6a2c841d-5a0e-4886-a5c0-f856fccbb938,Nat Bhairon,Ajoy Chakrabarty,10:38,natbhairon_vh.csv,Vignesh Hegde,-
b71c2774-2532-4692-8761-5452e2a83118,Bairagi,Ajoy Chakrabarty,14:59,Bairagi_rj.csv,Rhythm Jain,-
